Author: Spencer Rodgers, Date 1/6/2021, Score = 0.596295, Intercept Time = 2.61
Missile X, Missile Y, Target X, Target Y, AccelM, Separation, Time 
110.147,693.342,97.2274,660.559,19.538,35.2365,1.9
109.647,697.038,97.0421,662.761,19.5566,36.5208,1.91
109.132,700.732,96.8412,664.962,19.5742,37.8229,1.92
108.603,704.425,96.6246,667.162,19.5908,39.141,1.93
108.06,708.115,96.3925,669.359,19.6061,40.4736,1.94
107.502,711.803,96.1447,671.555,19.6202,41.8191,1.95
106.929,715.489,95.8814,673.75,19.6328,43.1763,1.96
106.342,719.172,95.6025,675.942,19.6437,44.5441,1.97
105.74,722.853,95.3081,678.132,19.6527,45.9216,1.98
105.124,726.532,94.9981,680.32,19.6597,47.3079,1.99
104.493,730.208,94.6726,682.506,19.6643,48.7022,2
103.847,733.882,94.3317,684.69,19.6663,50.1037,2.01
103.186,737.553,93.9752,686.871,19.6653,51.512,2.02
102.51,741.221,93.6033,689.049,19.6609,52.9263,2.03
101.818,744.886,93.2159,691.225,19.6528,54.3463,2.04
101.111,748.549,92.8131,693.398,19.6405,55.7713,2.05
100.388,752.208,92.3949,695.568,19.6235,57.201,2.06
99.6491,755.864,91.9613,697.735,19.6011,58.6349,2.07
98.8934,759.517,91.5123,699.899,19.5729,60.0727,2.08
98.1205,763.166,91.048,702.06,19.5381,61.5138,2.09
97.3297,766.811,90.5684,704.217,19.4959,62.9579,2.1
96.5205,770.452,90.0735,706.371,19.4455,64.4045,2.11
95.6917,774.089,89.5633,708.521,19.3861,65.8533,2.12
94.8423,777.721,89.0379,710.668,19.3167,67.3036,2.13
93.9709,781.348,88.4972,712.811,19.2361,68.755,2.14
93.0761,784.969,87.9414,714.95,19.1431,70.2069,2.15
92.1559,788.584,87.3704,717.085,19.0366,71.6587,2.16
91.2082,792.191,86.7843,719.216,18.9151,73.1094,2.17
90.2304,795.791,86.183,721.342,18.777,74.5582,2.18
89.2194,799.381,85.5667,723.465,18.6207,76.0042,2.19
88.1717,802.961,84.9354,725.583,18.4442,77.446,2.2
87.0832,806.529,84.289,727.696,18.2456,78.8821,2.21
85.9492,810.082,83.6277,729.805,18.0226,80.3109,2.22
84.7642,813.619,82.9514,731.909,17.7726,81.7302,2.23
83.5218,817.136,82.2602,734.008,17.4929,83.1375,2.24
82.2148,820.629,81.5541,736.102,17.1803,84.5299,2.25
80.835,824.095,80.8332,738.191,16.8314,85.9036,2.26
79.3733,827.526,80.0975,740.275,16.4422,87.2543,2.27
77.8191,830.917,79.3471,742.354,16.0081,88.5766,2.28
76.1609,834.258,78.5818,744.427,15.524,89.8639,2.29
74.3862,837.539,77.8019,746.495,14.9842,91.1083,2.3
72.4813,840.746,77.0074,748.557,14.382,92.2999,2.31
70.4319,843.862,76.1982,750.614,13.7099,93.427,2.32
68.2232,846.868,75.3745,752.664,12.9595,94.4749,2.33
65.8408,849.738,74.5362,754.709,12.1215,95.4261,2.34
63.2716,852.442,73.6835,756.748,11.1855,96.259,2.35
60.505,854.944,72.8163,758.781,10.1408,96.9481,2.36
57.535,857.201,71.9347,760.807,8.97645,97.4629,2.37
54.3626,859.163,71.0388,762.828,7.68225,97.7677,2.38
50.9989,860.774,70.1285,764.841,6.2498,97.8216,2.39
47.4679,861.976,69.204,766.849,4.67423,97.5794,2.4
43.8103,862.708,68.2652,768.849,2.95613,96.9923,2.41
40.086,862.913,67.3123,770.843,1.10365,96.011,2.42
36.3741,862.546,66.3453,772.831,-0.865651,94.5892,2.43
32.7714,861.58,65.3642,774.811,-2.92403,92.6882,2.44
29.3864,860.013,64.369,776.784,-5.03443,90.282,2.45
26.3294,857.876,63.3599,778.75,-7.15348,87.362,2.46
23.7015,855.229,62.3369,780.709,-9.23648,83.9395,2.47
21.5832,852.159,61.2999,782.661,-11.2433,80.046,2.48
20.0255,848.769,60.2492,784.605,-13.1437,75.7298,2.49
19.0473,845.17,59.1847,786.542,-14.9209,71.0512,2.5
18.6372,841.463,58.1065,788.471,-16.5721,66.0752,2.51
18.7597,837.735,57.0146,790.392,-18.107,60.8664,2.52
19.3629,834.054,55.9091,792.306,-19.5448,55.4842,2.53
20.3869,830.467,54.7901,794.212,-20.9102,49.9802,2.54
21.7698,827.003,53.6576,796.11,-22.2312,44.3985,2.55
23.4523,823.674,52.5116,797.999,-23.5365,38.7767,2.56
25.3801,820.481,51.3523,799.881,-24.854,33.1499,2.57
27.5051,817.415,50.1796,801.754,-26.2112,27.5574,2.58
29.7857,814.464,48.9937,803.619,-27.6349,22.058,2.59
32.1863,811.609,47.7946,805.475,-29.1524,16.7702,2.6
